node_id,name,original_name,former_name,jurisdiction,jurisdiction_description,company_type,address,internal_id,incorporation_date,inactivation_date,struck_off_date,dorm_date,status,service_provider,ibcRUC,country_codes,countries,sourceID,valid_until,note
10034210,SUCCESS WAY HOLDINGS LIMITED,SUCCESS WAY HOLDINGS LIMITED,,SEY,Seychelles,,BUSINESS CONSULTANTS LIMITED 18A; 18/F; TWO CHINACHEM PLAZA 68 CONNAUGHT ROAD CENTRAL HONG KONG HONG KONG,214633,25-APR-2012,17-MAR-2015,31-DEC-2015,,Defaulted,Mossack Fonseca,106776,HKG,Hong Kong,Panama Papers,The Panama Papers data is current through 2015,
10065063,MATTERDALE PROPERTIES LIMITED,MATTERDALE PROPERTIES LIMITED,,BVI,British Virgin Islands,,BUSINESS CONSULTANTS LIMITED 18A; 18/F; TWO CHINACHEM PLAZA 68 CONNAUGHT ROAD CENTRAL HONG KONG HONG KONG,512324,24-OCT-1994,03-MAY-2005,30-APR-2005,,Defaulted,Mossack Fonseca,131395,HKG,Hong Kong,Panama Papers,The Panama Papers data is current through 2015,
10087222,RITDATA HOLDINGS LIMITED,RITDATA HOLDINGS LIMITED -EX-SUN TALENT HOLDINGS,SUN TALENT HOLDINGS,BVI,British Virgin Islands,,BUSINESS CONSULTANTS LIMITED 18A; 18/F; TWO CHINACHEM PLAZA 68 CONNAUGHT ROAD CENTRAL HONG KONG HONG KONG,538920,08-SEP-2000,28-OCT-2004,30-APR-2006,,Changed agent,Mossack Fonseca,405614,HKG,Hong Kong,Panama Papers,The Panama Papers data is current through 2015,
10090592,G. BROTHERS LTD.,G. BROTHERS LTD. EX-MIODOG SECURITIES INC.,MIODOG SECURITIES INC.,BVI,British Virgin Islands,,"SAKURA KYODO LAW OFFICES NBF HIBIYA BLDG. 16F 1-1-7  UCHISAIWAICHO CHIYODA-KU, TOKYO 100-0011 JAPAN",540080,24-NOV-2000,04-AUG-2014,30-APR-2013,,Changed agent,Mossack Fonseca,418641,JPN,Japan,Panama Papers,The Panama Papers data is current through 2015,
10090596,G. HOLDING LTD.,G. HOLDING LTD. EX-RUNDA FINANCE S.A.,RUNDA FINANCE S.A.,BVI,British Virgin Islands,,"SAKURA KYODO LAW OFFICES NBF HIBIYA BLDG. 16F 1-1-7  UCHISAIWAICHO CHIYODA-KU, TOKYO 100-0011 JAPAN",540081,24-NOV-2000,20-OCT-2014,30-APR-2013,,Changed agent,Mossack Fonseca,418640,JPN,Japan,Panama Papers,The Panama Papers data is current through 2015,
10090758,MASSHOST INTERNATIONAL LIMITED,MASSHOST INTERNATIONAL LIMITED,,BVI,British Virgin Islands,,MASSHOST INTERNATIONAL LIMITED UNIT B; 3RD FLOOR; BLOCK 10 RICHWOOD PARK 33 LO FAI ROAD; TAI PO; NEW TERRITORIES HONG KONG,536134,29-MAR-2000,05-NOV-2003,31-OCT-2003,,Defaulted,Mossack Fonseca,379126,HKG,Hong Kong,Panama Papers,The Panama Papers data is current through 2015,
10090905,SCCOTON FINANCE LTD.,SCCOTON FINANCE LTD.,,BVI,British Virgin Islands,,BUSINESS CONSULTANTS LIMITED 18A; 18/F; TWO CHINACHEM PLAZA 68 CONNAUGHT ROAD CENTRAL HONG KONG HONG KONG,539293,28-SEP-2000,02-MAY-2003,30-APR-2003,,Defaulted,Mossack Fonseca,409366,HKG,Hong Kong,Panama Papers,The Panama Papers data is current through 2015,
10094143,BELKING INTERNATIONAL LTD.,BELKING INTERNATIONAL LTD.,,BVI,British Virgin Islands,,BUSINESS CONSULTANTS LIMITED 18A; 18/F; TWO CHINACHEM PLAZA 68 CONNAUGHT ROAD CENTRAL HONG KONG HONG KONG,541229,01-FEB-2001,06-NOV-2008,31-OCT-2008,,Defaulted,Mossack Fonseca,430051,HKG,Hong Kong,Panama Papers,The Panama Papers data is current through 2015,
10126784,BusiJet International Corporation Ltd,BusiJet International Corporation Ltd,,BVI,British Virgin Islands,,"OLIVIER BRUNISHOLZ C/O BRINER-BRUNISHOLZ COURS DES BASTIONS, 5; 1205 GENEVA GENEVE SWITZERLAND",584366,29-APR-2004,,,,Active,Mossack Fonseca,594475,CHE,Switzerland,Panama Papers,The Panama Papers data is current through 2015,
10155216,FITOM LIMITED,FITOM LIMITED,,BVI,British Virgin Islands,,HONG KONG IR SECRETARY LIMITED 1B; 561 NAM BIN TSEUN; FA NLING WAI FAN LING N T NEW TERRITORIES HONG KONG,6033963,21-JAN-2013,06-NOV-2014,31-OCT-2014,,Defaulted,Mossack Fonseca,,HKG,Hong Kong,Panama Papers,The Panama Papers data is current through 2015,
